image_id,angle,speed
1,0.8125,1
2,0.5,1
3,0.875,1
4,0.8125,1
5,0.8125,1
6,0.875,0
7,0.9375,1
8,0.875,1
9,0.8125,1
10,0.8125,1
11,0.9375,1
12,0.875,1
13,0.8125,1
14,0.8125,1
15,0.8125,1
16,0.875,1
17,0.875,1
18,0.875,1
19,0.875,1
20,0.875,1
21,1.0,1
22,0.875,1
23,0.875,1
24,1.0,1
25,0.875,1
26,0.9375,1
27,0.875,1
28,0.875,1
29,0.8125,1
30,1.0,1
31,0.875,0
32,0.875,1
33,0.875,1
34,0.875,1
35,0.6875,1
36,0.875,1
37,0.875,1
38,0.5,1
39,0.875,0
40,0.9375,1
41,0.875,1
42,0.9375,1
43,0.875,0
44,0.8125,1
45,0.8125,1
46,0.8125,1
47,1.0,1
48,0.8125,1
49,0.875,1
50,0.875,1
51,1.0,1
52,0.8125,1
53,0.875,1
54,0.8125,1
55,0.875,1
56,1.0,1
57,0.875,1
58,0.875,1
59,0.8125,1
60,0.8125,1
61,0.875,1
62,0.875,1
63,0.875,1
64,0.8125,1
65,0.875,1
66,0.8125,1
67,1.0,1
68,0.9375,1
69,1.0,1
70,0.8125,1
71,1.0,1
72,0.875,1
73,0.8125,1
74,0.8125,1
75,0.8125,1
76,0.9375,1
77,0.875,1
78,0.875,1
79,0.875,1
80,0.9375,1
81,0.8125,1
82,0.875,0
83,0.9375,1
84,1.0,1
85,0.875,1
86,0.875,1
87,1.0,1
88,0.8125,1
89,0.875,0
90,0.8125,1
91,0.875,1
92,0.9375,1
93,0.8125,1
94,0.8125,1
95,0.8125,1
96,0.8125,1
97,0.8125,1
98,0.5,1
99,0.8125,1
100,0.9375,1
101,0.8125,1
102,0.8125,1
103,0.9375,1
104,0.875,1
105,0.8125,1
106,1.0,1
107,0.875,1
108,0.8125,1
109,1.0,1
110,0.8125,1
111,0.875,1
112,0.625,1
113,1.0,1
114,1.0,1
115,0.875,0
116,0.9375,1
117,0.9375,1
118,0.875,0
119,1.0,1
120,0.8125,1
121,0.8125,1
122,0.8125,1
123,0.8125,1
124,0.9375,1
125,0.8125,1
126,0.875,0
127,0.875,0
128,0.9375,1
129,1.0,1
130,0.875,1
131,0.8125,1
132,0.875,1
133,0.9375,1
134,1.0,1
135,0.875,0
136,0.875,1
137,0.8125,1
138,0.9375,1
139,0.9375,1
140,0.875,1
141,0.875,1
142,0.8125,1
143,1.0,1
144,0.8125,1
145,0.875,0
146,0.8125,1
147,0.8125,1
148,0.875,0
149,0.875,1
150,0.875,0
151,0.875,1
152,0.875,1
153,1.0,1
154,0.875,1
155,0.8125,1
156,1.0,1
157,0.875,1
158,0.9375,1
159,0.8125,1
160,0.875,1
161,0.8125,1
162,0.875,1
163,0.8125,1
164,0.875,1
165,0.8125,1
166,0.875,1
167,0.8125,1
168,0.625,1
169,1.0,1
170,0.9375,1
171,0.9375,1
172,0.8125,1
173,0.875,1
174,0.8125,1
175,0.875,0
