image_id,angle,speed
1,0.75,1
2,0.5,0
3,0.5625,0
4,0.1875,1
5,0.75,1
6,0.4375,1
7,0.6875,1
8,0.5,0
9,0.5625,0
10,0.4375,1
11,0.625,1
12,0.5,1
13,0.5625,1
14,0.4375,1
15,0.6875,1
16,0.6875,0
17,0.6875,0
18,0.5,0
19,0.5,0
20,0.75,0
21,0.8125,0
22,0.8125,1
23,0.8125,1
24,0.5,1
25,0.5,1
26,0.625,1
27,0.5,1
28,0.625,0
29,0.5625,1
30,0.625,0
31,0.4375,1
32,0.75,1
33,0.6875,1
34,0.5625,1
35,0.75,0
36,0.6875,1
37,0.8125,1
38,0.75,1
39,0.75,1
40,0.625,1
41,0.6875,1
42,0.4375,1
43,0.75,1
44,0.75,1
45,0.75,1
46,0.1875,0
47,0.75,1
48,0.3125,1
49,0.6875,1
50,0.625,1
51,0.4375,1
52,0.4375,1
53,0.75,0
54,0.6875,1
55,0.625,0
56,0.8125,1
57,0.8125,1
58,0.4375,1
59,0.625,0
60,0.6875,1
61,0.75,0
62,0.625,0
63,0.8125,1
64,0.625,1
65,0.1875,1
66,0.6875,0
67,0.4375,1
68,0.75,1
69,0.6875,0
70,0.6875,0
71,0.75,1
72,0.75,0
73,0.625,1
74,0.5,1
75,0.4375,1
76,0.4375,1
77,0.8125,1
78,0.625,1
79,0.5,0
80,0.8125,1
81,0.75,0
82,0.1875,0
83,0.5,0
84,0.6875,1
85,0.4375,1
86,0.3125,0
87,0.5,1
88,0.75,0
89,0.4375,1
90,0.5,1
91,0.1875,0
92,0.5,1
93,0.5,1
94,0.5,0
95,0.1875,0
96,0.5625,0
97,0.5,1
98,0.4375,1
99,0.625,1
100,0.625,1
101,0.625,1
102,0.5625,1
103,0.1875,1
104,0.5,1
105,0.4375,1
106,0.6875,0
107,0.5,1
108,0.5,0
109,0.625,1
110,0.625,1
111,0.6875,1
112,0.75,1
113,0.1875,1
114,0.5,1
115,0.625,0
116,0.75,0
117,0.1875,0
118,0.625,0
119,0.4375,1
120,0.75,0
121,0.6875,0
122,0.5625,1
123,0.5,1
124,0.5,0
125,0.6875,1
126,0.6875,0
127,0.5,0
128,0.8125,1
129,0.1875,0
130,0.8125,0
131,0.5,1
132,0.75,1
133,0.8125,1
134,0.5625,0
135,0.625,1
136,0.75,0
137,0.75,1
138,0.5,0
139,0.5,1
140,0.8125,1
141,0.8125,1
142,0.1875,0
143,0.75,0
144,0.75,1
145,0.5,0
146,0.75,1
147,0.8125,0
148,0.5625,1
149,0.6875,1
150,0.5,0
151,0.5,1
152,0.6875,1
153,0.5625,1
154,0.4375,1
155,0.5,0
156,0.5,1
157,0.5,1
158,0.5,1
159,0.625,0
160,0.6875,1
161,0.3125,1
162,0.5,1
163,0.1875,1
164,0.5,1
165,0.8125,1
166,0.5,1
167,0.1875,1
168,0.5,1
169,0.4375,0
170,0.75,1
171,0.3125,1
172,0.5,0
173,0.625,0
174,0.6875,1
175,0.1875,0
176,0.75,0
177,0.625,1
178,0.8125,0
179,0.6875,0
180,0.625,0
181,0.5,1
182,0.5,0
183,0.8125,1
184,0.5,0
185,0.75,1
186,0.6875,1
187,0.6875,1
188,0.75,0
189,0.8125,1
190,0.6875,1
191,0.625,1
192,0.5625,1
193,0.8125,1
194,0.5625,0
195,0.625,0
196,0.5,0
197,0.6875,1
198,0.8125,0
199,0.5,0
200,0.5625,0
201,0.5,1
202,0.75,0
203,0.5625,0
204,0.6875,0
205,0.8125,0
206,0.625,1
207,0.4375,0
208,0.625,0
209,0.5,0
210,0.3125,0
211,0.625,1
212,0.6875,0
213,0.5625,0
214,0.6875,1
215,0.3125,0
216,0.8125,0
217,0.8125,0
218,0.8125,1
219,0.75,1
220,0.5,0
221,0.3125,0
222,0.625,1
223,0.5,1
224,0.75,0
225,0.4375,1
226,0.5,1
227,0.5,0
228,0.625,1
229,0.625,1
230,0.8125,1
231,0.3125,1
232,0.3125,0
233,0.8125,0
234,0.8125,0
235,0.8125,1
236,0.625,0
237,0.5,0
238,0.1875,1
239,0.75,1
240,0.5625,0
241,0.5,1
242,0.75,0
243,0.8125,0
244,0.75,1
245,0.75,0
246,0.75,0
247,0.4375,1
248,0.6875,0
249,0.75,1
250,0.8125,1
251,0.6875,1
252,0.4375,0
253,0.75,1
254,0.5625,0
255,0.5625,0
256,0.5625,1
257,0.5,1
258,0.5,1
259,0.4375,1
260,0.5625,1
261,0.1875,0
262,0.625,1
263,0.4375,1
264,0.75,0
265,0.625,1
266,0.6875,1
267,0.1875,0
268,0.75,1
269,0.8125,0
270,0.5,1
271,0.75,1
272,0.75,1
273,0.75,1
274,0.5625,1
275,0.5625,1
276,0.75,1
277,0.625,1
278,0.6875,1
279,0.5625,0
280,0.8125,1
281,0.5625,1
282,0.5,1
283,0.8125,0
284,0.8125,1
285,0.3125,1
286,0.6875,1
287,0.75,1
288,0.5,1
289,0.5,1
290,0.4375,1
291,0.4375,0
292,0.6875,1
293,0.5625,1
294,0.3125,0
295,0.5,1
296,0.5625,1
297,0.5625,1
298,0.8125,0
299,0.625,0
300,0.6875,1
301,0.625,0
302,0.75,1
303,0.5625,0
304,0.75,1
305,0.4375,0
306,0.5625,1
307,0.625,0
308,0.75,0
309,0.625,1
310,0.8125,1
311,0.5625,1
312,0.3125,1
313,0.625,1
314,0.8125,1
315,0.75,1
316,0.625,0
317,0.1875,0
318,0.1875,1
319,0.5,0
320,0.625,1
321,0.625,1
322,0.6875,1
323,0.6875,0
324,0.5,0
325,0.5625,0
326,0.5,1
327,0.5,1
328,0.6875,1
329,0.625,0
330,0.5,1
331,0.8125,1
332,0.1875,1
333,0.5625,0
334,0.1875,0
335,0.5625,1
336,0.6875,1
337,0.625,1
338,0.4375,1
339,0.8125,1
340,0.5,1
341,0.8125,0
342,0.8125,1
343,0.6875,0
344,0.4375,1
345,0.75,1
346,0.5,1
347,0.5,1
348,0.8125,0
349,0.5625,1
350,0.5,0
351,0.5,1
352,0.75,0
353,0.6875,1
354,0.1875,0
355,0.4375,1
356,0.4375,1
357,0.5,0
358,0.8125,1
359,0.8125,1
360,0.5625,0
361,0.1875,0
362,0.1875,0
363,0.75,1
364,0.1875,1
365,0.4375,0
366,0.75,1
367,0.8125,1
368,0.75,0
369,0.75,0
370,0.6875,1
371,0.625,1
372,0.75,1
373,0.5625,0
374,0.1875,1
375,0.3125,1
376,0.625,1
377,0.5,1
378,0.5,0
379,0.4375,1
380,0.75,1
381,0.75,1
382,0.1875,1
383,0.8125,0
384,0.75,1
385,0.1875,1
386,0.625,1
387,0.75,0
388,0.625,0
389,0.5,0
390,0.75,0
391,0.5,1
392,0.5,1
393,0.1875,0
394,0.9375,1
395,0.4375,0
396,0.625,1
397,0.8125,0
398,0.6875,1
399,0.6875,0
400,0.625,1
401,0.75,1
402,0.4375,0
403,0.5625,1
404,0.6875,1
405,0.5,0
406,0.6875,1
407,0.5,1
408,0.5625,1
409,0.5,0
410,0.8125,0
411,0.5,1
412,0.75,0
413,0.625,0
414,0.1875,1
415,0.625,0
416,0.3125,1
417,0.4375,1
418,0.5625,1
419,0.3125,0
420,0.5,0
421,0.1875,1
422,0.75,1
423,0.5,1
424,0.5,1
425,0.3125,0
426,0.5,1
427,0.8125,1
428,0.5,1
429,0.75,1
430,0.1875,1
431,0.5625,0
432,0.1875,1
433,0.1875,1
434,0.625,0
435,0.8125,0
436,0.5,1
437,0.5,1
438,0.1875,1
439,0.5,1
440,0.8125,1
441,0.6875,0
442,0.5,0
443,0.6875,0
444,0.5,0
445,0.75,0
446,0.5,1
447,0.5,1
448,0.3125,0
449,0.5,0
450,0.6875,1
451,0.1875,1
452,0.5,1
453,0.625,0
454,0.75,1
455,0.625,1
456,0.8125,1
457,0.3125,1
458,0.5,0
459,0.625,1
460,0.1875,1
461,0.75,0
462,0.5,1
463,0.5,1
464,0.1875,0
465,0.75,1
466,0.4375,0
467,0.5,1
468,0.5,0
469,0.4375,1
470,0.5,1
471,0.8125,1
472,0.625,1
473,0.75,0
474,0.5,1
475,0.625,0
476,0.75,0
477,0.5625,0
